cohort,category,construct,file,variable,notes
ABCD,id_wave,participant_id,data_ABCD/mh_p_cbcl.tsv,participant_id,ABCD participant identifier
ABCD,id_wave,session_id,data_ABCD/mh_p_cbcl.tsv,session_id,ABCD session identifier
ABCD,id_cluster,family_id,data_ABCD/ab_g_stc.tsv,ab_g_stc__design_id__fam,Release 6.1 family identifier used for clustered standard errors
ABCD,covariate,age,data_ABCD/mh_p_cbcl.tsv,mh_p_cbcl_age,Table-specific age
ABCD,covariate,sex,data_ABCD/ab_g_stc.tsv,ab_g_stc__cohort_sex,Stable cohort sex
ABCD,covariate,site,data_ABCD/ab_g_dyn.tsv,ab_g_dyn__design_site,Assessment site
ABCD,covariate,household_income,data_ABCD/ab_p_demo.tsv,ab_p_demo__income__hhold_001,Parent-reported household income band
ABCD,covariate,parent_education,data_ABCD/ab_p_demo.tsv,ab_p_demo__edu__slf_001__v02,Parent education version 2 when available
ABCD,covariate,neighborhood_disadvantage,data_ABCD/le_l_adi.tsv,le_l_adi__addr1__national_prcnt,Linked area deprivation index percentile (address 1)
ABCD,outcome,internalising,data_ABCD/mh_p_cbcl.tsv,mh_p_cbcl__synd__int_tscore,Primary outcome for ABCD longitudinal analyses
ABCD,outcome,withdrawn_depressed,data_ABCD/mh_p_cbcl.tsv,mh_p_cbcl__synd__wthdep_tscore,Withdrawal/disengagement proxy
ABCD,outcome,depressive_problems,data_ABCD/mh_p_cbcl.tsv,mh_p_cbcl__dsm__dep_tscore,Secondary depressive outcome
ABCD,outcome,youth_bpm_internalising,data_ABCD/mh_y_bpm.tsv,mh_y_bpm__int_tscore,Youth-reported internalising sensitivity outcome
ABCD,outcome,youth_bpm_attention,data_ABCD/mh_y_bpm.tsv,mh_y_bpm__attn_tscore,Youth-reported attention-problems sensitivity outcome
ABCD,outcome,youth_depression_impairment,data_ABCD/mh_y_ksads__dep.parquet,mh_y_ksads__dep__impfunct__pres_sx,Youth KSADS depression-related functional impairment
ABCD,field_like,school_environment,data_ABCD/fc_y_srpf.tsv,fc_y_srpf__env_mean,School climate/protection
ABCD,field_like,school_involvement,data_ABCD/fc_y_srpf.tsv,fc_y_srpf__involv_mean,School involvement
ABCD,field_like,school_disengagement,data_ABCD/fc_y_srpf.tsv,fc_y_srpf__dis_mean,Reverse-scored in the primary field composite
ABCD,field_sensitivity,bas_drive,data_ABCD/mh_y_bisbas.tsv,mh_y_bisbas__bas__dr_sum,Alternative field-like candidate
ABCD,field_sensitivity,bas_fun_seeking,data_ABCD/mh_y_bisbas.tsv,mh_y_bisbas__bas__fs_sum,Alternative field-like candidate
ABCD,field_sensitivity,bas_reward_responsiveness,data_ABCD/mh_y_bisbas.tsv,mh_y_bisbas__bas__rr_sum,Alternative field-like candidate
ABCD,field_sensitivity,positive_affect_youth,data_ABCD/mh_y_pai.tsv,mh_y_pai_sum,Age-13 youth positive-affect denominator used in the ABCD balance-index analysis
ABCD,precision_like,flanker_control,data_ABCD/nc_y_nihtb.tsv,nc_y_nihtb__flnkr__fullcor_tscore,Primary cognitive-control proxy used in the main models
ABCD,precision_sensitivity,pattern_comparison_processing_speed,data_ABCD/nc_y_nihtb.tsv,nc_y_nihtb__pttcp__fullcor_tscore,Precision-proxy sensitivity: Pattern Comparison Processing Speed (good ses-02A coverage)
ABCD,precision_sensitivity,crystallized_composite,data_ABCD/nc_y_nihtb.tsv,nc_y_nihtb__comp__cryst__fullcorr_tscore,Precision-proxy sensitivity: Crystallized composite (good ses-02A coverage)
ABCD,precision_sensitivity,card_sort_flexibility_legacy,data_ABCD/nc_y_nihtb.tsv,nc_y_nihtb__crdst__fullcorr_tscore,Replaced by pttcp/crystallized at ses-02A: only 5 valid cases
ABCD,precision_sensitivity,list_sorting_working_memory_legacy,data_ABCD/nc_y_nihtb.tsv,nc_y_nihtb__lswmt__fullcor_tscore,Replaced by pttcp/crystallized at ses-02A: only 14 valid cases
ABCD,context,family_cohesion,data_ABCD/fc_y_fes.tsv,fc_y_fes__cohes_mean,Protective family context
ABCD,context,family_conflict,data_ABCD/fc_y_fes.tsv,fc_y_fes__confl_mean,Risk family context
ABCD,context,sleep_duration,data_ABCD/ph_y_mctq.tsv,ph_y_mctq__sleep_dur,Higher values are protective
ABCD,context,social_jetlag,data_ABCD/ph_y_mctq.tsv,ph_y_mctq__socjl_absl,Higher values are risk
ABCD,context,neighborhood_adi_national_percentile,data_ABCD/le_l_adi.tsv,le_l_adi__addr1__national_prcnt,Higher values indicate greater area deprivation
ABCD,prs,prs_local_status,,No local ABCD PRS/PGI file located in this workspace,Local PRS assets were not detected for ABCD
